event_id,event_time,user_id,content_id,event_type,playback_position_sec
e_0000001,2026-05-20 21:38:13,u_00075,c_0006,play_abandon,1541
e_0000002,2026-04-21 12:51:06,u_00191,c_0008,play_resume,3114
e_0000003,2026-05-27 14:56:23,u_00148,c_0048,play_abandon,1555
e_0000004,2026-05-07 12:08:17,u_00100,c_0028,play_pause,4257
e_0000005,2026-04-20 16:53:35,u_00170,c_0039,play_start,4409
e_0000006,2026-05-18 14:06:46,u_00118,c_0021,play_complete,5570
e_0000007,2026-04-19 14:50:13,u_00117,c_0010,play_start,4906
e_0000008,2026-04-25 01:52:43,u_00082,c_0020,play_abandon,3918
e_0000009,2026-04-26 14:14:36,u_00162,c_0014,play_start,6637
e_0000010,2026-04-05 01:46:06,u_00086,c_0010,play_pause,5737
e_0000011,2026-03-29 18:05:29,u_00189,c_0004,play_complete,2450
e_0000012,2026-05-26 06:34:39,u_00169,c_0011,play_complete,5553
e_0000013,2026-04-09 11:34:56,u_00122,c_0023,play_abandon,5953
e_0000014,2026-04-13 17:15:06,u_00073,c_0019,play_abandon,3225
e_0000015,2026-05-07 05:04:09,u_00025,c_0009,play_start,6961
e_0000016,2026-04-28 03:49:24,u_00182,c_0020,play_pause,3619
e_0000017,2026-05-09 19:46:47,u_00179,c_0031,play_pause,6023
e_0000018,2026-05-04 00:05:24,u_00167,c_0001,play_start,5556
e_0000019,2026-03-28 10:16:07,u_00038,c_0025,play_pause,461
e_0000020,2026-04-27 18:56:53,u_00025,c_0023,play_abandon,5325
e_0000021,2026-04-30 19:19:14,u_00087,c_0038,play_complete,2007
e_0000022,2026-05-12 11:28:41,u_00009,c_0008,play_abandon,1413
e_0000023,2026-05-03 01:09:18,u_00168,c_0048,play_start,6371
e_0000024,2026-05-03 15:19:19,u_00119,c_0042,play_complete,3009
e_0000025,2026-05-20 21:52:29,u_00003,c_0008,play_abandon,1842
e_0000026,2026-04-21 05:29:43,u_00006,c_0038,play_start,6507
e_0000027,2026-05-03 08:18:16,u_00152,c_0012,play_complete,2444
e_0000028,2026-05-21 13:55:15,u_00147,c_0009,play_abandon,1514
